"Marca temporal","A que programa graduado Pertenece?","Es esta la primera vez que recibe PEAF?","En que mes se le hizo disponible el contratro para firmarlo?","Si lleno el contrato tarde, por que fue?","El PEAF que recibe es por:","Al Sol de Hoy 23 de Septiembre, le Han Pagado?","Estan Deacuerdo Con que Los Resultados Del Sondeo Se Hagan Publicos?"
"2019/09/23 5:29:12 p.m. GMT-4","Biología","Sí","Agosto","Beca STEM UPR 1st year","Asistente De Investigacion","No","Sí"
"2019/09/23 5:38:37 p.m. GMT-4","Quimica","No","Lo llene Tarde","Estaba en lista de espera","Asistencia De Catedra","No","Sí"
"2019/09/23 5:38:45 p.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/23 5:40:27 p.m. GMT-4","Quimica","No","Agosto","","Asistencia De Catedra","No","No"
"2019/09/23 5:44:30 p.m. GMT-4","Ciencias Ambientales","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/23 5:45:47 p.m. GMT-4","Biología","Sí","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/23 5:49:28 p.m. GMT-4","Biología","Sí","Agosto","Contracts for new graduate students weren't ready till the beginning of August from about the 7-9 we were informed and from the 9-11 of August Angela was on vacation. Contracts that weren't turned in from the 7-8 were turned in from August 12th on.","Asistencia De Catedra","No","Sí"
"2019/09/23 5:51:18 p.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","No"
"2019/09/23 7:48:16 p.m. GMT-4","Biología","Sí","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/23 7:49:32 p.m. GMT-4","Biología","Sí","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/23 9:12:06 p.m. GMT-4","Ciencias Ambientales","Sí","Agosto","Desconocia de la Convocatoria","Asistencia De Catedra","No","Sí"
"2019/09/23 9:26:22 p.m. GMT-4","Ciencias Ambientales","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/24 8:12:06 a.m. GMT-4","Biología","Sí","Agosto","Ellos nos llaron tarde","Asistencia De Catedra","No","Sí"
"2019/09/24 8:52:12 a.m. GMT-4","Quimica","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/24 8:55:39 a.m. GMT-4","Quimica","Sí","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/24 11:12:01 a.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/24 5:15:50 p.m. GMT-4","Biología","No","Agosto","No sé por qué ","Asistente De Investigacion","Sí","Sí"
"2019/09/25 10:27:52 a.m. GMT-4","Biología","No","Agosto","Estaba de viaje en un congreso cuando se me avisó. Esto fue la primera semana de clases.","Asistencia De Catedra","No","Sí"
"2019/09/25 10:37:11 a.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 11:27:21 a.m. GMT-4","Matematicas","No","Agosto","","Asistencia De Catedra","No","No"
"2019/09/25 11:32:32 a.m. GMT-4","Ciencias Ambientales","No","Julio","","Asistente De Investigacion","No","Sí"
"2019/09/25 11:36:12 a.m. GMT-4","Fisica","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 11:57:53 a.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 12:52:29 p.m. GMT-4","Matematicas","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 12:54:10 p.m. GMT-4","Biología","Sí","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 12:56:35 p.m. GMT-4","Biología","Sí","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 1:00:08 p.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 1:04:06 p.m. GMT-4","Matematicas","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 1:17:50 p.m. GMT-4","Biología","No","Julio","","Asistencia De Catedra","No","Sí"
"2019/09/25 1:21:32 p.m. GMT-4","Matematicas","No","Agosto","Estaba en lista de espera","Asistencia De Catedra","No","Sí"
"2019/09/25 1:34:26 p.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/25 3:25:42 p.m. GMT-4","Ciencias Ambientales","No","Julio","","Asistente De Investigacion","No","Sí"
"2019/09/25 5:50:54 p.m. GMT-4","Biología","Sí","Agosto","Si es que lo llené tarde pues fue culpa de la muchacha que me dijo que fuera viernes y cuando fui no estaba (me dijeron que no venía ese día), entonces tuve que esperar al lunes.","Asistencia De Catedra","No","Sí"
"2019/09/26 9:58:49 a.m. GMT-4","Biología","No","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/26 10:22:04 a.m. GMT-4","Biología","Sí","Agosto","","Asistencia De Catedra","No","Sí"
"2019/09/26 11:20:46 p.m. GMT-4","Quimica","No","Agosto","Estaba en lista de espera","Asistencia De Catedra","No","Sí"
"2019/09/27 6:09:46 a.m. GMT-4","Quimica","No","Agosto","","Asistencia De Catedra","No","Sí"
