"Marca temporal","A que programa graduado Pertenece?","Cursa un Grado de Maestria o Doctorado?","En que año Cursa?","¿Al sol de Hoy 23 de Septiembre, le Han Pagado?","¿De dónde provienen sus fondos?","Entiende Que Todos los Años Se Tiene el Mismo Problema Con los Pagos?","Para usted es importante que se reforme la manera que se procesan los contratos?","Tiene Personas Que Dependen De Su Estipendio?","Tiene Plan Medico?","Piensa que el PEAF Debe Incluir Plan Medico","Si usted no recibe PEAF, por que firmo la carta que llevo a esta reunion?","Solo Conteste si Usted Firmo la Carta en Solidaridad.  Recibio una Llamada Telefonica Cuestionando Su Apoyo a Sus Compañeros?","Usted Entiende Que Las Llamadas Telefonicas Echas a los Compañeros Solidarios, Son Un Tipo de Persecucion?","Por que Usted Entiende que Todos los Años se Atrasan los Pagos?","Algun otro asunto relacionado a los estipendios que entiende que debe ser tocado en la reunion?","Estan Deacuerdo Con que Los Resultados Del Sondeo Se Hagan Publicos?"
"2019/09/23 5:29:11 p.m. GMT-4","Biología","Maestria","4","Sí","Empleada de la UPR","Sí","Si","No","Sí","Sí","Era TA y me lo han hecho en años anteriores","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:31:13 p.m. GMT-4","Biología","Dotorado","1","No","STEM UPR","Sí","Si","Sí","Sí","Sí","Tampoco he Cobrado","","Sí","El Cambio de Año Fiscal","","Sí"
"2019/09/23 5:34:15 p.m. GMT-4","Biología","Dotorado","1","No","STEM beca ","Sí","Si","No","Sí","Sí","Same problem with receiving the STEM beca","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","The fact that the payment is delayed is also a considerable problem for international students thus depending on the help of their family, being far.","Sí"
"2019/09/23 5:41:00 p.m. GMT-4","Biología","Maestria","4","No","Convenio","Sí","Si","Sí","No","Sí","No Firme La Carta","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:45:18 p.m. GMT-4","Biología","Maestria","2","No","PEAF","Sí","Si","Sí","No","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Certificación 4","Sí"
"2019/09/23 5:46:09 p.m. GMT-4","Biología","Maestria","3","Sí","Convenio","Sí","Si","No","Sí","Sí","No Firme La Carta","","Depende quién haga la llamada y el propósito ","No hay comunicación entre oficinas, mucha burocracia, hay que esperar a que cierta persona este para que firme  no se adignan alternos o los alternos tampoco están disponibles para hacer el trabajo. El pago para los PEAF parece nonser una prioridad  para la administración ","","Sí"
"2019/09/23 5:46:36 p.m. GMT-4","Quimica","Maestria","2","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:49:04 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Debería haber mejor comunicación/coordinación entre las distintas oficinas.","Sí"
"2019/09/23 5:49:33 p.m. GMT-4","Biología","Maestria","2","No","PEAF","Sí","Si","Sí","No","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Certificación 4","Sí"
"2019/09/23 5:52:41 p.m. GMT-4","Biología","Maestria","2","Sí","Convenio","Sí","Si","Sí","Sí","Sí","En solidaridad","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 5:55:00 p.m. GMT-4","Biología","Dotorado","1","No","Beca STEM","Sí","Si","No","Sí","Sí","Tampoco he Cobrado","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 6:07:01 p.m. GMT-4","Quimica","Dotorado","5","No","PEAF","No","Si","Sí","Sí","Sí","No Firme La Carta","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","los estudiantes internacionales, de que viven?","No"
"2019/09/23 7:01:10 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","No","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 7:48:09 p.m. GMT-4","Biología","Dotorado","2","No","PEAF","Sí","Si","Sí","Sí","Sí","","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/23 7:53:13 p.m. GMT-4","Biología","Maestria","1","No","PEAF","Sí","Si","Sí","Sí","Sí","","","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Que cambios se pueden hacer para que el retraso en los pagos no siga pasando","Sí"
"2019/09/23 8:06:36 p.m. GMT-4","Ciencias Ambientales","Maestria","2","Sí","PRLSAMP-BDP","Sí","Si","No","Sí","","No Firme La Carta","","No","Mala comunicacion/prioridades de los partidos responsables","Hay que llenar la solicitud del PEAF para cada semestre o año academico? ","Sí"
"2019/09/23 9:30:42 p.m. GMT-4","Ciencias Ambientales","Maestria","3","No","PEAF","Sí","Si","Sí","No","Sí","","","No","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","Aumento en la cantidad que se recibe del estipendio, ya que a pesar del aumento monetario en la ultima decada de muchas cosas el estipendio se mantiene igual y muchas veces no es suficiente para poder enfocarse full time en los estudios atrasando asi la completación del mismo ","Sí"
"2019/09/24 8:17:43 a.m. GMT-4","Biología","Maestria","2","No","PEAF","Sí","Si","Sí","Sí","Sí","Si recibo PEAF","No","Sí","Los Contratos Se Atrasan En Alguna De Las Muchas Oficinas Donde Se Le Tiene Que Dar El Visto Bueno","","Sí"
"2019/09/24 8:22:14 a.m. GMT-4","Ciencias Ambientales","Dotorado","1","No","STEM (Lo llené el 19-9-2019, no me daban el formulario PEAF pues no sabían si aplicaba)","No","Si","No","Sí","Sí","No he firmado pues no llegó a mis manos.  Me solidarizo. ","","Sí","La opción #1 y que el Decanato las envía a tiempo pero son devueltas al decanato un mes mas tarde y el proceso se alarga.","STEM primer año doctoral.  Los estudiantes que hicieron reclasificación de maestría a doctorado el semestre pasado y este semestre están en su primer año doctoral aplican?","Sí"
